ID,Title,Authors,Date,Categorie
http://arxiv.org/abs/2203.12318v1,Trust and Reliance in XAI -- Distinguishing Between Attitudinal and Behavioral Measures,"['cs.HC', 'cs.AI', 'H.5.0; I.2.0']","[arxiv.Result.Author('Nicolas Scharowski'), arxiv.Result.Author('Sebastian A. C. Perrig'), arxiv.Result.Author('Nick von Felten'), arxiv.Result.Author('Florian Brühlmann')]",2022-03-23 10:39:39+00:00
http://arxiv.org/abs/2203.12315v1,Resource allocation optimization using artificial intelligence methods in various computing paradigms: A Review,"['cs.AI', 'cs.NI']","[arxiv.Result.Author('Javad Hassannataj Joloudari'), arxiv.Result.Author('Roohallah Alizadehsani'), arxiv.Result.Author('Issa Nodehi'), arxiv.Result.Author('Sanaz Mojrian'), arxiv.Result.Author('Fatemeh Fazl'), arxiv.Result.Author('Sahar Khanjani Shirkharkolaie'), arxiv.Result.Author('H M Dipu Kabir'), arxiv.Result.Author('Ru-San Tan'), arxiv.Result.Author('U Rajendra Acharya')]",2022-03-23 10:31:15+00:00
http://arxiv.org/abs/2203.12257v2,IAM: A Comprehensive and Large-Scale Dataset for Integrated Argument Mining Tasks,['cs.CL'],"[arxiv.Result.Author('Liying Cheng'), arxiv.Result.Author('Lidong Bing'), arxiv.Result.Author('Ruidan He'), arxiv.Result.Author('Qian Yu'), arxiv.Result.Author('Yan Zhang'), arxiv.Result.Author('Luo Si')]",2022-03-23 08:07:32+00:00
http://arxiv.org/abs/2203.12224v1,Efficient Few-Shot Object Detection via Knowledge Inheritance,"['cs.CV', 'cs.AI', 'I.4']","[arxiv.Result.Author('Ze Yang'), arxiv.Result.Author('Chi Zhang'), arxiv.Result.Author('Ruibo Li'), arxiv.Result.Author('Guosheng Lin')]",2022-03-23 06:24:31+00:00
http://arxiv.org/abs/2203.12187v1,Converse -- A Tree-Based Modular Task-Oriented Dialogue System,"['cs.CL', 'cs.AI']","[arxiv.Result.Author('Tian Xie'), arxiv.Result.Author('Xinyi Yang'), arxiv.Result.Author('Angela S. Lin'), arxiv.Result.Author('Feihong Wu'), arxiv.Result.Author('Kazuma Hashimoto'), arxiv.Result.Author('Jin Qu'), arxiv.Result.Author('Young Mo Kang'), arxiv.Result.Author('Wenpeng Yin'), arxiv.Result.Author('Huan Wang'), arxiv.Result.Author('Semih Yavuz'), arxiv.Result.Author('Gang Wu'), arxiv.Result.Author('Michael Jones'), arxiv.Result.Author('Richard Socher'), arxiv.Result.Author('Yingbo Zhou'), arxiv.Result.Author('Wenhao Liu'), arxiv.Result.Author('Caiming Xiong')]",2022-03-23 04:19:05+00:00
http://arxiv.org/abs/2203.12131v1,Should Machine Learning Models Report to Us When They Are Clueless?,"['cs.LG', 'cs.CY']","[arxiv.Result.Author('Roozbeh Yousefzadeh'), arxiv.Result.Author('Xuenan Cao')]",2022-03-23 01:50:24+00:00
http://arxiv.org/abs/2203.11903v1,Enabling faster and more reliable sonographic assessment of gestational age through machine learning,"['cs.LG', 'cs.CV', 'eess.IV']","[arxiv.Result.Author('Chace Lee'), arxiv.Result.Author('Angelica Willis'), arxiv.Result.Author('Christina Chen'), arxiv.Result.Author('Marcin Sieniek'), arxiv.Result.Author('Akib Uddin'), arxiv.Result.Author('Jonny Wong'), arxiv.Result.Author('Rory Pilgrim'), arxiv.Result.Author('Katherine Chou'), arxiv.Result.Author('Daniel Tse'), arxiv.Result.Author('Shravya Shetty'), arxiv.Result.Author('Ryan G. Gomes')]",2022-03-22 17:15:56+00:00
http://arxiv.org/abs/2203.11889v1,Insights From the NeurIPS 2021 NetHack Challenge,"['cs.LG', 'cs.AI', 'cs.NE', 'cs.SC', 'stat.ML']","[arxiv.Result.Author('Eric Hambro'), arxiv.Result.Author('Sharada Mohanty'), arxiv.Result.Author('Dmitrii Babaev'), arxiv.Result.Author('Minwoo Byeon'), arxiv.Result.Author('Dipam Chakraborty'), arxiv.Result.Author('Edward Grefenstette'), arxiv.Result.Author('Minqi Jiang'), arxiv.Result.Author('Daejin Jo'), arxiv.Result.Author('Anssi Kanervisto'), arxiv.Result.Author('Jongmin Kim'), arxiv.Result.Author('Sungwoong Kim'), arxiv.Result.Author('Robert Kirk'), arxiv.Result.Author('Vitaly Kurin'), arxiv.Result.Author('Heinrich Küttler'), arxiv.Result.Author('Taehwon Kwon'), arxiv.Result.Author('Donghoon Lee'), arxiv.Result.Author('Vegard Mella'), arxiv.Result.Author('Nantas Nardelli'), arxiv.Result.Author('Ivan Nazarov'), arxiv.Result.Author('Nikita Ovsov'), arxiv.Result.Author('Jack Parker-Holder'), arxiv.Result.Author('Roberta Raileanu'), arxiv.Result.Author('Karolis Ramanauskas'), arxiv.Result.Author('Tim Rocktäschel'), arxiv.Result.Author('Danielle Rothermel'), arxiv.Result.Author('Mikayel Samvelyan'), arxiv.Result.Author('Dmitry Sorokin'), arxiv.Result.Author('Maciej Sypetkowski'), arxiv.Result.Author('Michał Sypetkowski')]",2022-03-22 17:01:07+00:00
http://arxiv.org/abs/2203.12667v1,"Vision-and-Language Navigation: A Survey of Tasks, Methods, and Future Directions","['cs.CV', 'cs.AI', 'cs.CL', 'cs.LG']","[arxiv.Result.Author('Jing Gu'), arxiv.Result.Author('Eliana Stefani'), arxiv.Result.Author('Qi Wu'), arxiv.Result.Author('Jesse Thomason'), arxiv.Result.Author('Xin Eric Wang')]",2022-03-22 16:58:10+00:00
http://arxiv.org/abs/2203.11852v1,A Survey on Techniques for Identifying and Resolving Representation Bias in Data,"['cs.DB', 'cs.LG']","[arxiv.Result.Author('Nima Shahbazi'), arxiv.Result.Author('Yin Lin'), arxiv.Result.Author('Abolfazl Asudeh'), arxiv.Result.Author('H. V. Jagadish')]",2022-03-22 16:30:22+00:00
http://arxiv.org/abs/2203.11547v1,Explainability in reinforcement learning: perspective and position,"['cs.AI', 'cs.CY', 'I.2; K.4']","[arxiv.Result.Author('Agneza Krajna'), arxiv.Result.Author('Mario Brcic'), arxiv.Result.Author('Tomislav Lipic'), arxiv.Result.Author('Juraj Doncevic')]",2022-03-22 09:00:13+00:00
http://arxiv.org/abs/2203.11420v1,Consent as a Foundation for Responsible Autonomy,"['cs.AI', 'cs.CY']",[arxiv.Result.Author('Munindar P. Singh')],2022-03-22 02:25:27+00:00
